species,conifer,crops,hilli,mixed_for,moor_heath,ndvi,pasture,peat,precsea,realmat,scrub,sparse_veg,tempsea,wbann
Lepus_timidus_timidus,0.211035609,0.511571824,-0.659171968,-0.490400795,-0.343897062,0.286895066,-0.455179978,3.728530834,0.269165465,-0.121907906,2.476721524,-0.275216281,0.93217525,-0.422300162
Lepus_timidus_timidus,0.514003253,0.511571824,-0.642710237,1.923473378,-0.343897062,-0.235859407,-0.455179978,-0.301509071,0.514348281,-0.197259056,2.476721524,-0.275216281,0.981480066,-0.6053375
Lepus_timidus_timidus,-0.697867323,1.677013735,0.855307359,-0.490400795,0.599186413,-0.568521181,-0.455179978,-0.301509071,0.636939689,0.053911443,-0.425024934,-0.275216281,-0.867153514,2.754501821
Lepus_timidus_timidus,-0.697867323,-0.653870086,0.048682713,-0.490400795,3.899978578,-0.425951779,-0.455179978,-0.301509071,0.391756873,-0.473546604,-0.425024934,-0.275216281,-0.820224834,3.198255806
Lepus_timidus_timidus,-0.697867323,-0.653870086,0.048682713,-0.490400795,3.899978578,-0.425951779,-0.455179978,-0.301509071,0.391756873,-0.473546604,-0.425024934,-0.275216281,-0.820224834,3.198255806
Lepus_timidus_timidus,-0.697867323,0.511571824,-0.159832584,-0.490400795,-0.343897062,-0.520997721,-0.455179978,-0.301509071,0.636939689,0.053911443,-0.425024934,-0.275216281,-0.839827953,2.856655279
Lepus_timidus_timidus,2.028841473,-0.653870086,-0.286039229,-0.490400795,-0.343897062,0.144325664,-0.455179978,-0.301509071,0.146574057,0.053911443,0.542223885,-0.275216281,-0.425192273,0.873061934
Lepus_timidus_timidus,-0.697867323,1.677013735,-0.664659303,-0.490400795,-0.343897062,0.239371606,-0.455179978,-0.301509071,0.759531096,-0.071673807,-0.425024934,-0.275216281,0.744460529,-0.681600187
Lepus_timidus_timidus,2.028841473,-0.653870086,-0.307988157,-0.490400795,-0.343897062,0.096803183,-0.455179978,-0.301509071,0.269165465,0.179496692,-0.425024934,-0.275216281,-0.402024949,0.595686319
Lepus_timidus_timidus,-0.697867323,-0.653870086,-0.615273974,3.532722826,-0.343897062,-0.235859407,1.191365302,-0.301509071,0.269165465,-0.147024956,1.993097114,-0.275216281,0.90187952,-0.410489849
Lepus_timidus_timidus,-0.697867323,-0.653870086,-0.615273974,3.532722826,-0.343897062,-0.235859407,1.191365302,-0.301509071,0.269165465,-0.147024956,1.993097114,-0.275216281,0.90187952,-0.410489849
Lepus_timidus_timidus,-0.697867323,-0.653870086,-0.170807117,1.923473378,-0.343897062,-0.425951779,-0.455179978,3.152810847,0.146574057,-0.448429554,-0.425024934,-0.275216281,-0.53984082,1.53531595
