ltt.pc1,ltt.pc2,ltt.pc3,ltt.pc4,ltv.pc1,ltv.pc2,ltv.pc3,ltv.pc4,ltsy.pc1,ltsy.pc2,ltsy.pc3,ltsy.pc4,ltsco.pc1,ltsco.pc2,ltsco.pc3,ltsco.pc4,lth.pc1,lth.pc2,lth.pc3,lth.pc4
0.031958097,0.241886799,0.94907635,-0.403928267,-0.879769556,3.194254142,1.165718318,-1.17923547,-0.270211077,-1.343955994,-1.011996466,-0.747389668,-2.046681984,1.128307402,-0.514081045,0.682876624,-1.702238793,0.18523405,0.471658079,3.644480449
-0.24670143,0.462804331,1.455923053,0.536744851,-0.710665433,2.165038926,1.711568139,0.268670125,-0.220693618,-1.455284985,0.041509242,-0.80013389,-2.046681984,1.128307402,-0.514081045,0.682876624,-3.963921436,-2.960629344,-1.732955716,-2.041738849
-1.01373423,1.064830938,0.257986464,-0.064794839,-1.241070349,3.052756756,1.930573878,-0.437795671,0.186479723,-0.604809488,0.821446024,0.014469501,-3.006647392,-2.36580556,-1.14176357,-0.860003265,-3.756377326,-2.756368672,-1.301198109,-1.130195553
-0.924465259,0.76069008,0.052889088,0.013575371,0.107119976,1.503664611,2.594375896,1.181820691,0.749106557,-0.476653846,1.154270003,0.432507941,-1.686292172,2.416025902,-1.860294591,2.383770322,-2.632635071,0.548731501,-0.871355065,2.849839975
-0.924465259,0.76069008,0.052889088,0.013575371,-0.890571574,2.017582295,2.381418679,0.121834702,0.061220942,-0.887074568,-0.78142896,-0.413817725,-2.08134995,1.600200829,0.74954281,0.674784544,-2.370203476,-0.329941796,1.264298694,1.523449443
-0.725935904,0.368077694,1.224614026,0.10704524,-0.75703635,3.53601983,1.331031778,-1.590827732,0.878581051,-0.264700687,1.193172861,0.011641585,-2.252017109,0.60824269,0.577318876,0.254229081,-3.109574773,-0.841407168,0.215742546,0.819768714
-0.725935904,0.368077694,1.224614026,0.10704524,-0.846199199,3.986313625,1.601328851,-1.705341701,0.558600477,-1.633430761,-0.781031687,-1.455771178,-2.155878034,-0.086650004,0.246879109,0.45152586,-3.338170575,-0.50629253,0.526938125,0.754422283
-0.26362305,-2.161970377,-1.29773696,-1.091101362,-0.75703635,3.53601983,1.331031778,-1.590827732,1.345581808,-0.599496083,1.654430386,1.049831877,-1.934379173,0.771121286,0.472402135,0.187501634,-3.219758115,-0.910886891,0.252659622,0.862412962
0.931975602,-0.974962177,-0.903532306,-0.615624891,-0.771457065,3.311253646,1.601442807,-1.115560114,0.843235997,-0.857828164,0.570908415,-0.119057184,-2.115382784,1.340507193,-0.100955851,0.493456179,-4.14377187,-3.98961258,-2.187718443,-2.297845078
-0.589418962,0.244189599,1.133754892,0.078475177,-0.498451322,2.005063942,2.316841416,-0.80002379,0.137373191,-0.529989275,0.931922727,-0.03728616,-3.288786954,-2.679727593,-1.600450951,-1.737055713,-3.842974731,-3.384041596,-1.956788191,-1.968185234
