(Sub-)species,Code,PC1,PC2,PC3,PC4,pca1.g1,pca2.g2,pca3.g2,pca4.g2
L. europaeus,1,-2.506,-1.416,-0.254,0.235,,,,
L. europaeus,1,-0.85,-0.724,-0.9,-0.232,,,,
L. europaeus,1,-1.93,-0.764,-0.053,0.463,,,,
L. europaeus,1,-1.674,-1.247,-0.296,-0.172,,,,
L. europaeus,1,-1.871,-0.481,1.91,1.432,,,,
L. europaeus,1,-2.622,-1.47,-0.18,0.258,,,,
L. europaeus,1,-2.713,-0.944,0.146,0.723,,,,
L. europaeus,1,-2.835,-0.827,0.278,0.686,,,,
L. europaeus,1,-1.943,-0.963,-0.299,-0.018,,,,
L. europaeus,1,-2.764,-1.02,0.201,0.741,,,,
L. europaeus,1,-2.42,-1.559,-0.303,0.247,,,,
L. europaeus,1,-1.812,-0.967,-0.369,-0.029,,,,
L. europaeus,1,-2.744,-1.797,-0.252,0.365,,,,
L. europaeus,1,-2.343,-1.316,-0.244,0.175,,,,
L. europaeus,1,-1.646,-0.973,-0.434,-0.069,,,,
L. europaeus,1,-2.179,-1.368,-0.384,0.157,,,,
L. europaeus,1,-1.839,-1.06,-0.399,-0.008,,,,
L. europaeus,1,-1.838,-1.151,-0.426,0.01,,,,
L. europaeus,1,-1.885,-1.003,-0.346,-0.013,,,,
L. europaeus,1,-1.699,-1.032,-0.452,-0.019,,,,
L. europaeus,1,-2.485,-1.443,-0.257,0.228,,,,
L. europaeus,1,-2.315,-1.468,-0.334,0.201,,,,
L. europaeus,1,-1.986,-0.879,-0.061,0.524,,,,
L. europaeus,1,-2.425,-1.078,0.09,0.632,,,,
L. europaeus,1,-2.263,-1.459,-0.336,0.179,,,,
L. europaeus,1,-1.903,-0.482,-1.04,0.3,,,,
L. europaeus,1,-2.425,-1.245,-0.244,0.191,,,,
L. europaeus,1,-2.348,-1.28,-0.244,0.167,,,,
L. europaeus,1,-2.738,-1.334,-0.133,0.289,,,,
L. europaeus,1,-3.001,-1.515,-0.133,0.406,,,,
L. europaeus,1,-2.798,0.359,0.521,0.542,,,,
L. europaeus,1,-2.727,-1.634,-0.216,0.327,,,,
L. europaeus,1,-2.909,-1.368,-0.102,0.338,,,,
L. europaeus,1,-2.618,-1.242,-0.163,0.256,,,,
L. europaeus,1,-2.783,-0.655,0.392,0.652,,,,
L. europaeus,1,-1.816,-1.058,-0.397,-0.014,,,,
L. europaeus,1,-1.782,-1.125,-0.444,0.003,,,,
L. europaeus,1,-2.583,-0.065,0.393,0.538,,,,
L. europaeus,1,-2.021,-1.192,-0.382,0.077,,,,
L. europaeus,1,-2.849,-0.833,0.321,0.716,,,,
L. europaeus,1,-2.978,-0.557,0.335,0.134,,,,
L. europaeus,1,-2.628,-1.083,-0.073,0.198,,,,
L. europaeus,1,-2.35,-1.111,-0.246,0.169,,,,
L. europaeus,1,-1.742,-1.095,-0.464,-0.008,,,,
L. europaeus,1,-2.117,-0.94,-0.265,0.049,,,,
L. europaeus,1,-2.092,-0.961,-0.297,0.048,,,,
L. europaeus,1,-1.881,-0.908,-0.359,0.013,,,,
L. europaeus,1,-2.892,-0.498,0.446,0.666,,,,
L. europaeus,1,-2.635,-1.287,-0.193,0.284,,,,
L. europaeus,1,-2.161,-1.095,-0.27,0.066,,,,
L. europaeus,1,-2.798,0.156,-0.412,0.948,,,,
L. europaeus,1,-1.989,-0.857,-0.293,-0.007,,,,
L. europaeus,1,-2.759,-1.294,-0.15,0.307,,,,
L. europaeus,1,-1.373,-0.844,-0.662,-0.1,,,,
L. europaeus,1,-3.005,-1.493,-0.103,0.408,,,,
L. europaeus,1,-2.531,-1.259,-0.194,0.228,,,,
L. europaeus,1,-1.877,-1.075,-0.422,0.022,,,,
L. europaeus,1,-2.08,-0.902,-0.3,0.032,,,,
L. europaeus,1,-2.735,-0.135,-0.33,0.897,,,,
L. europaeus,1,-1.698,-0.092,1.687,1.581,,,,
L. europaeus,1,-3.042,0.539,-0.256,0.974,,,,
L. europaeus,1,-2.014,-0.963,-0.349,0.031,,,,
L. europaeus,1,-2.372,-1.274,-0.301,0.189,,,,
L. europaeus,1,-2.931,-0.413,0.444,0.645,,,,
L. europaeus,1,-1.907,-1.005,-0.383,0.019,,,,
L. europaeus,1,-2.335,-1.323,-0.344,0.195,,,,
L. europaeus,1,-1.593,-1.385,1.245,0.318,,,,
L. europaeus,1,-2.009,-1.022,-0.441,0.106,,,,
L. europaeus,1,-1.839,0.467,0.26,0.188,,,,
L. europaeus,1,-2.292,0.109,0.29,0.395,,,,
L. europaeus,1,-2.027,-1.047,-0.383,0.06,,,,
L. europaeus,1,-1.782,1.616,-2.079,3.705,,,,
L. europaeus,1,-2.723,-0.119,0.286,0.622,,,,
L. europaeus,1,-2.113,-1.145,-0.4,0.115,,,,
L. europaeus,1,-2.502,-1.195,-0.304,0.235,,,,
L. europaeus,1,-1.367,-0.632,-0.701,-0.114,,,,
L. europaeus,1,-2.634,-1.298,-0.161,0.287,,,,
L. europaeus,1,-2.151,-0.916,-0.234,0.092,,,,
L. europaeus,1,-2.996,0.456,0.301,0.703,,,,
L. europaeus,1,-2.349,-1.256,-0.349,0.201,,,,
L. europaeus,1,-2.936,-0.413,0.322,0.716,,,,
L. europaeus,1,-2.292,-0.64,0.576,0.124,,,,
L. europaeus,1,-2.647,-0.091,0.271,0.615,,,,
L. europaeus,1,-2.012,-0.936,-0.368,0.041,,,,
L. europaeus,1,-1.975,0.713,-1.347,3.507,,,,
L. europaeus,1,-2.202,0.157,0.312,0.382,,,,
L. europaeus,1,-2.774,-0.347,0.276,0.666,,,,
L. europaeus,1,-2.653,-0.71,0.186,0.702,,,,
L. europaeus,1,-2.439,0.896,0.169,0.829,,,,
L. europaeus,1,-2.226,0.418,0.416,0.319,,,,
L. europaeus,1,-2.358,-0.97,0.974,0.554,,,,
L. europaeus,1,-3.02,-1.615,-0.162,0.44,,,,
L. europaeus,1,-2.108,1.719,-1.028,0.912,,,,
L. europaeus,1,-2.845,0.947,-0.843,1.143,,,,
L. europaeus,1,-2.512,-1.019,-0.13,0.174,,,,
L. europaeus,1,-2.604,-0.338,0.219,0.648,,,,
L. europaeus,1,-2.942,-1.756,-0.509,-0.033,,,,
L. europaeus,1,-2.27,-0.719,-0.163,0.08,,,,
L. europaeus,1,-1.781,-0.536,-0.096,0.417,,,,
L. europaeus,1,-1.183,0.673,-0.78,3.586,,,,
L. europaeus,1,-1.381,-0.556,-0.797,-0.073,,,,
L. europaeus,1,-2.209,-0.745,-0.483,0.183,,,,
L. europaeus,1,-2.482,1.832,-1.39,1.855,,,,
L. europaeus,1,-1.847,1.76,-0.434,0.537,,,,
L. europaeus,1,-1.794,-0.184,-0.027,0.397,,,,
L. europaeus,1,-2.398,-0.835,-0.382,0.228,,,,
L. europaeus,1,-2.572,-0.216,0.399,0.539,,,,
L. europaeus,1,-1.304,-0.155,0.555,1.174,,,,
L. europaeus,1,-2.014,-0.107,1.088,0.305,,,,
L. europaeus,1,-2.014,-0.107,1.088,0.305,,,,
L. europaeus,1,-2.728,-0.22,0.283,0.633,,,,
L. europaeus,1,-3.17,-1.674,-0.384,0.017,,,,
L. europaeus,1,-2.845,-0.735,0.182,0.779,,,,
L. europaeus,1,-2.659,-0.232,-0.16,0.733,,,,
L. europaeus,1,-2.329,-0.209,1.03,1.156,,,,
L. europaeus,1,-1.839,0.484,0.255,0.907,,,,
L. europaeus,1,-2.769,1.382,-0.399,0.905,,,,
L. europaeus,1,-1.787,0.49,0.52,0.424,,,,
L. europaeus,1,-2.157,0.942,0.834,1.05,,,,
L. europaeus,1,-2.31,0.145,0.262,0.458,,,,
L. europaeus,1,-2.204,0.14,-0.126,-0.042,,,,
L. europaeus,1,-0.861,0.012,2.342,1.493,,,,
L. europaeus,1,-2.464,0.189,0.198,1.582,,,,
L. europaeus,1,-2.342,0.119,0.337,0.452,,,,
L. europaeus,1,-1.714,2.652,-1.732,2.878,,,,
L. europaeus,1,-2.206,1.398,-0.709,0.824,,,,
L. europaeus,1,-2.215,-0.407,0.512,0.677,,,,
L. europaeus,1,-2.596,-1.129,-0.92,-0.02,,,,
L. europaeus,1,-1.975,0.204,-0.962,1.524,,,,
L. europaeus,1,-1.972,1.506,0.787,0.935,,,,
L. europaeus,1,-1.223,0.953,1.73,0.582,,,,
L. europaeus,1,-1.996,0.35,-0.728,2.033,,,,
L. europaeus,1,-2.678,-0.447,0.218,0.693,,,,
L. europaeus,1,-2.322,1.199,-0.419,0.676,,,,
L. europaeus,1,-2.489,-0.013,0.241,0.547,,,,
L. europaeus,1,-1.902,-0.832,-0.363,0.03,,,,
L. europaeus,1,-2.687,-0.424,0.199,0.699,,,,
L. europaeus,1,-2.299,-0.319,0.922,0.832,,,,
L. europaeus,1,-2.486,1.527,-0.352,0.758,,,,
L. europaeus,1,-2.084,-0.79,-0.234,0.035,,,,
L. europaeus,1,-2.752,1.264,-0.238,1.33,,,,
L. europaeus,1,-1.455,-1.002,-0.165,-0.378,,,,
L. europaeus,1,-1.838,0.336,0.026,0.342,,,,
L. europaeus,1,-1.977,-0.852,0.855,0.459,,,,
L. europaeus,1,-2.656,-0.145,0.258,0.628,,,,
L. europaeus,1,-2.084,-0.59,0.812,0.807,,,,
L. europaeus,1,-2.199,-0.596,-0.02,0.595,,,,
L. europaeus,1,-3.147,1.486,-0.443,1.006,,,,
L. europaeus,1,-2.102,-0.968,-0.452,0.154,,,,
L. europaeus,1,-2.057,-0.366,-0.211,-0.005,,,,
L. europaeus,1,-2.496,-0.637,0.014,0.094,,,,
L. europaeus,1,-2.284,-0.411,1.081,0.913,,,,
L. europaeus,1,-1.869,-0.962,-0.552,0.101,,,,
L. europaeus,1,-1.741,-0.834,-0.451,0,,,,
L. europaeus,1,-2.591,-0.833,0.175,0.68,,,,
L. europaeus,1,-0.764,1.235,2.326,1.2,,,,
L. europaeus,1,-3.157,2.313,-0.552,1.015,,,,
L. europaeus,1,-1.469,1.997,0.661,0.769,,,,
L. europaeus,1,-1.673,-0.618,-0.397,-0.05,,,,
L. europaeus,1,-2.083,4.392,-0.83,-1.709,,,,
L. europaeus,1,-1.578,-0.529,-0.485,-0.072,,,,
L. europaeus,1,-2.042,-0.619,-0.182,-0.003,,,,
L. europaeus,1,-1.533,0.235,0.112,0.245,,,,
L. europaeus,1,-2.067,1.501,-0.132,0.476,,,,
L. europaeus,1,-1.593,1.173,0.245,0.098,,,,
L. europaeus,1,-2.18,1.913,-0.928,0.876,,,,
L. europaeus,1,-1.819,2.974,-0.308,0.36,,,,
L. europaeus,1,-1.029,1.654,-1.629,2.32,,,,
L. europaeus,1,-1.265,3.155,-0.637,-2.226,,,,
L. europaeus,1,-1.341,3.117,-0.301,-1.82,,,,
L. europaeus,1,-1.738,1.443,0.572,0.64,,,,
L. europaeus,1,-2.191,1.487,-0.398,0.584,,,,
L. europaeus,1,-2.584,-1.882,0.267,-0.173,,,,
L. europaeus,1,-0.979,1.201,1.965,0.772,,,,
L. europaeus,1,-2.311,-0.428,0.169,0.583,,,,
L. europaeus,1,-1.769,0.272,1.558,0.758,,,,
L. europaeus,1,-1.662,1.247,0.979,0.934,,,,
L. europaeus,1,-1.8,1.13,-0.786,0.73,,,,
L. europaeus,1,-2.056,-0.519,0.934,0.768,,,,
L. europaeus,1,-2.59,-1.833,-0.59,-0.09,,,,
L. europaeus,1,-2.235,-0.686,0.427,0.763,,,,
L. europaeus,1,-2.414,-0.977,-0.435,0.257,,,,
L. europaeus,1,-2.164,-0.318,1.007,0.764,,,,
L. europaeus,1,-1.282,-0.535,1.313,0.887,,,,
L. europaeus,1,-1.744,3.669,-1.012,-1.075,,,,
L. europaeus,1,-1.018,2.025,-2.443,3.578,,,,
L. europaeus,1,-2.238,0.893,-1.368,0.538,,,,
L. europaeus,1,-1.813,1.881,-0.96,0.736,,,,
L. europaeus,1,-1.813,1.881,-0.96,0.736,,,,
L. europaeus,1,-1.595,1.015,-2.203,3.118,,,,
L. europaeus,1,-1.456,1.537,-1.391,1.395,,,,
L. europaeus,1,-0.766,1.843,-1.835,3.971,,,,
L. europaeus,1,-0.779,0.96,-2.105,3.681,,,,
L. europaeus,1,-2.289,0.589,-1.017,1.032,,,,
L. europaeus,1,-1.079,0.592,-2.027,3.782,,,,
L. europaeus,1,-0.373,0.564,-0.792,3.82,,,,
L. europaeus,1,-1.117,1.99,-2.338,2.895,,,,
L. europaeus,1,-2.619,-0.608,0.101,0.721,,,,
L. europaeus,1,-2.087,-0.657,-0.889,0.963,,,,
L. europaeus,1,-2.087,-0.657,-0.889,0.963,,,,
L. europaeus,1,-2.336,-0.486,-0.108,0.686,,,,
L. europaeus,1,-1.696,-1.071,-0.433,-0.033,,,,
L. europaeus,1,-1.538,-0.59,0.292,0.164,,,,
L. europaeus,1,-1.745,-1.069,-0.444,-0.009,,,,
L. europaeus,1,-1.949,-1.367,-0.482,0.107,,,,
L. europaeus,1,-1.983,-0.901,-0.253,0.002,,,,
L. europaeus,1,-2.237,-0.69,-0.084,0.009,,,,
L. europaeus,1,-2.648,-0.702,-0.051,0.224,,,,
L. europaeus,1,-2.695,-0.497,0.236,0.698,,,,
L. europaeus,1,-2.411,-0.581,-0.116,0.121,,,,
L. europaeus,1,-1.532,-0.643,-0.144,0.348,,,,
L. europaeus,1,-1.403,0.741,-1.211,2.6,,,,
L. europaeus,1,-1.803,-1.021,-0.407,-0.025,,,,
L. europaeus,1,-1.639,-1.002,-0.421,-0.063,,,,
L. europaeus,1,-1.992,-0.967,-0.247,-0.006,,,,
L. europaeus,1,-1.742,-0.716,1.111,0.362,,,,
L. europaeus,1,-1.581,-0.237,-0.176,0.321,,,,
L. europaeus,1,-1.629,-0.603,-0.106,0.316,,,,
L. europaeus,1,-1.914,1.509,-0.074,1.213,,,,
L. europaeus,1,0.114,0.685,1.739,1.121,,,,
L. europaeus,1,-1.846,-1.198,-0.404,0.018,,,,
L. europaeus,1,-2.694,-1.98,-0.49,-0.129,,,,
L. europaeus,1,-2.643,-0.415,1.141,0.841,,,,
L. europaeus,1,-2.346,-0.996,-0.293,0.208,,,,
L. europaeus,1,-1.584,1.621,-1.162,3.193,,,,
L. europaeus,1,-2.694,-0.483,-0.051,0.191,,,,
L. europaeus,1,-1.851,0.032,0.757,1.091,,,,
L. europaeus,1,-0.987,0.559,1.619,0.699,,,,
L. europaeus,1,-2.933,-0.504,0.147,0.207,,,,
L. europaeus,1,-1.201,1.885,2.094,0.475,,,,
L. europaeus,1,-2.319,1.734,-0.439,0.685,,,,
L. europaeus,1,-2.464,-1.284,0.037,0.69,,,,
L. europaeus,1,-2.627,-0.304,0.185,0.664,,,,
L. europaeus,1,-1.672,3.433,-0.249,0.152,,,,
L. europaeus,1,-1.356,1.766,-2.14,2.935,,,,
L. europaeus,1,-1.586,-0.254,-0.159,0.307,,,,
L. europaeus,1,-1.973,-0.641,-0.254,-0.016,,,,
L. europaeus,1,-2.131,0.176,0.152,0.448,,,,
L. europaeus,1,-1.151,0.55,-2.009,3.799,,,,
L. europaeus,1,-1.971,3,-0.968,-0.946,,,,
L. europaeus,1,-1.978,-0.841,0.61,0.25,,,,
L. europaeus,1,-2.076,0.918,-0.197,0.554,,,,
L. europaeus,1,-1.566,1.279,1.971,0.674,,,,
L. europaeus,1,-2.87,-0.666,0.308,0.704,,,,
L. europaeus,1,-2.442,0.249,0.228,0.528,,,,
L. europaeus,1,-2.539,-0.435,0.231,0.61,,,,
L. europaeus,1,-2.106,1.612,-1.649,1.804,,,,
L. europaeus,1,-2.679,-0.267,0.422,0.55,,,,
L. europaeus,1,-2.033,0.88,-0.961,0.837,,,,
L. europaeus,1,-2.691,-1.698,-0.186,0.324,,,,
L. europaeus,1,-1.658,2.864,-0.71,2.654,,,,
L. europaeus,1,-2.738,-0.27,0.337,0.004,,,,
L. europaeus,1,-1.732,-0.17,0.284,2.426,,,,
L. europaeus,1,-1.75,0.997,1.487,1.097,,,,
L. europaeus,1,-1.831,2.996,1.834,0.586,,,,
L. europaeus,1,-1.316,1.247,0.084,0.045,,,,
L. europaeus,1,-1.671,0.198,0.012,0.305,,,,
L. europaeus,1,-2.585,-0.996,0.15,0.673,,,,
L. europaeus,1,-2.894,-0.332,0.379,0.668,,,,
L. europaeus,1,-1.824,1.946,-0.05,0.979,,,,
L. europaeus,1,-1.411,-0.265,-0.227,0.324,,,,
L. europaeus,1,-1.31,-0.574,0.804,0.604,,,,
L. europaeus,1,-2.091,-1.062,-0.386,0.091,,,,
L. europaeus,1,-2.242,-1.048,0.087,0.57,,,,
L. europaeus,1,-2.657,-0.667,0.662,0.79,,,,
L. europaeus,1,-2.035,-0.867,-0.282,0.044,,,,
L. europaeus,1,-1.84,-1.05,-0.365,-0.02,,,,
L. europaeus,1,-0.981,0.354,0.591,2.261,,,,
L. europaeus,1,-1.414,1.858,2.038,0.4,,,,
L. europaeus,1,-1.918,2.519,0.658,0.777,,,,
L. europaeus,1,-1.367,2.081,-1.104,2.459,,,,
L. europaeus,1,-1.738,1.443,0.572,0.64,,,,
L. europaeus,1,-2.455,-0.977,-0.191,0.19,,,,
L. europaeus,1,-1.272,-0.222,0.552,0.09,,,,
L. europaeus,1,-1.608,-0.533,-0.05,0.333,,,,
L. europaeus,1,-2.908,-1.074,-0.347,-0.14,,,,
L. europaeus,1,-2.38,3.46,-1.364,1.975,,,,
L. europaeus,1,-2.472,-0.013,0.459,0.43,,,,
L. europaeus,1,-2.199,-1.338,-0.331,0.139,,,,
L. europaeus,1,-2.04,-0.629,0.708,0.404,,,,
L. europaeus,1,-1.199,-1.04,1.028,0.065,,,,
L. europaeus,1,-1.075,0.17,2.195,1.37,,,,
L. europaeus,1,-2.59,-0.756,0.035,0.142,,,,
L. europaeus,1,-1.774,1.04,0.359,0.155,,,,
L. europaeus,1,-1.262,0.445,-0.14,0.16,,,,
L. europaeus,1,-1.905,1.214,-0.209,0.508,,,,
L. europaeus,1,-2.417,-0.87,-0.169,0.181,,,,
L. europaeus,1,-1.929,-1.1,-0.333,0.001,,,,
L. europaeus,1,-2.496,2.065,0.557,0.221,,,,
L. europaeus,1,-1.39,0.96,1.398,0.483,,,,
L. europaeus,1,-2.632,-0.588,0.245,0.659,,,,
L. europaeus,1,-2.131,3.643,-0.926,0.18,,,,
L. europaeus,1,-2.627,2.508,-0.766,0.876,,,,
L. europaeus,1,-2.047,-1.419,-0.4,0.121,,,,
L. europaeus,1,-2.501,-1.283,-0.23,0.23,,,,
L. europaeus,1,-2.179,-1.107,-0.566,-0.358,,,,
L. europaeus,1,-2.553,-1.751,-0.23,-0.456,,,,
L. europaeus,1,-3.018,1.458,-1.02,1.873,,,,
L. europaeus,1,-1.783,2.286,-1.57,3.161,,,,
L. europaeus,1,-1.304,-0.155,0.555,1.174,,,,
L. europaeus,1,-1.876,3.258,-1.021,-0.393,,,,
L. europaeus,1,-1.706,3.317,-1.741,-0.359,,,,
L. europaeus,1,-1.813,-0.354,-0.025,0.366,,,,
L. europaeus,1,-1.94,-0.622,-0.579,0.113,,,,
L. europaeus,1,-1.802,-0.522,-0.31,-0.073,,,,
L. europaeus,1,-2.797,-1.043,0.29,0.699,,,,
L. europaeus,1,-2.501,0.565,0.689,0.288,,,,
L. europaeus,1,-1.395,-1.332,-0.08,-0.534,,,,
L. europaeus,1,-2.239,0.295,-0.153,0.353,,,,
L. europaeus,1,-1.218,-0.917,1.021,0.406,,,,
L. europaeus,1,-2.131,1.174,-0.652,0.752,,,,
L. europaeus,1,-2.061,-1.1,-0.262,0.028,,,,
L. europaeus,1,-2.917,-0.348,0.117,0.196,,,,
L. europaeus,1,-2.445,-1.398,-0.575,-0.212,,,,
L. europaeus,1,-1.302,1.436,2.371,0.916,,,,
L. europaeus,1,-2.193,-0.007,0.713,0.019,,,,
L. europaeus,1,-1.631,-0.71,-0.122,0.359,,,,
L. europaeus,1,-2.022,-0.767,-0.207,-0.016,,,,
L. europaeus,1,-1.741,1.913,-1.885,2.406,,,,
L. europaeus,1,-1.93,-0.56,-0.515,0.06,,,,
L. europaeus,1,-1.504,-0.403,-0.168,0.269,,,,
L. europaeus,1,-1.308,1.848,2.024,0.539,,,,
L. europaeus,1,-2.449,-0.496,0.228,0.599,,,,
L. europaeus,1,-2.66,-1.421,-0.261,0.308,,,,
L. europaeus,1,-1.851,1.115,1.049,0.42,,,,
L. europaeus,1,-3.092,-1.158,-0.024,0.349,,,,
L. europaeus,1,-2.277,-0.687,-0.241,0.069,,,,
L. europaeus,1,-1.673,-0.102,-0.048,0.295,,,,
L. europaeus,1,-2.446,-0.462,0.188,0.538,,,,
L. europaeus,1,-2.918,-0.503,0.376,0.659,,,,
L. europaeus,1,-2.789,-0.062,0.507,0.55,,,,
L. europaeus,1,-2.113,0.796,0.467,1.206,,,,
L. europaeus,1,-1.855,0.14,1.093,0.04,,,,
L. europaeus,1,-2.197,-0.653,0.125,0.497,,,,
L. europaeus,1,-2.837,-0.726,0.33,0.698,,,,
L. europaeus,1,-2.964,-1.034,0.022,0.266,,,,
L. europaeus,1,-2.236,1.906,-0.731,0.808,,,,
L. europaeus,1,-2.984,-0.572,0.367,0.105,,,,
L. europaeus,1,-1.684,1.573,0.336,0.716,,,,
L. europaeus,1,-2.504,-0.7,-0.08,0.122,,,,
L. europaeus,1,-2.577,0.39,0.707,0.356,,,,
L. europaeus,1,-2.315,2.151,-0.685,0.791,,,,
L. europaeus,1,-3.078,-0.573,0.462,0.694,,,,
L. europaeus,1,-2.667,-0.737,0.244,0.666,,,,
L. europaeus,1,-2.66,-0.287,0.29,0.627,,,,
L. europaeus,1,-2.983,-0.363,0.394,0.656,,,,
L. europaeus,1,-1.968,0.017,1.643,0.943,,,,
L. europaeus,1,-2.707,-0.267,1.052,0.984,,,,
L. europaeus,1,-2.135,0.183,1.102,0.614,,,,
L. europaeus,1,-3.091,-0.549,0.302,0.154,,,,
L. europaeus,1,-1.837,1.201,1.189,0.524,,,,
L. europaeus,1,-3.041,-1.09,0.132,0.277,,,,
L. europaeus,1,-2.968,-1.172,0.021,0.315,,,,
L. europaeus,1,-2.233,-0.66,-0.239,0.642,,,,
L. europaeus,1,-2.653,0.891,-0.287,0.779,,,,
L. europaeus,1,-2.65,-0.416,0.245,0.631,,,,
L. europaeus,1,-2.3,-0.563,0.665,0.335,,,,
L. europaeus,1,-2.376,-0.498,-0.151,0.12,,,,
L. europaeus,1,-2.95,-0.679,0.058,-0.34,,,,
L. europaeus,1,-2.999,0.246,-0.24,0.95,,,,
L. europaeus,1,-1.868,2.123,-1.628,2.913,,,,
L. europaeus,1,-1.823,0.058,1.911,0.745,,,,
L. europaeus,1,-2.657,-0.875,0.074,0.715,,,,
L. europaeus,1,-2.25,-0.06,0.174,0.527,,,,
L. europaeus,1,-2.884,-0.614,0.438,0.662,,,,
L. europaeus,1,-2.748,-1.559,-0.475,-0.144,,,,
L. europaeus,1,-2.811,-0.979,0.209,0.749,,,,
L. europaeus,1,-2.929,-1.295,-0.091,0.376,,,,
L. europaeus,1,-1.142,2.946,1.681,-1.236,,,,
L. europaeus,1,-1.293,1.956,1.098,-0.06,,,,
L. europaeus,1,-1.221,1.829,0.374,0.016,,,,
L. europaeus,1,-1.44,1.881,1.909,0.101,,,,
L. europaeus,1,-1.625,2.348,1.173,-0.549,,,,
L. europaeus,1,-1.699,3.552,0.547,-1.781,,,,
L. europaeus,1,-1.338,1.771,0.541,-0.062,,,,
L. europaeus,1,-1.471,1.527,1.846,0.321,,,,
L. europaeus,1,-0.874,1.744,3.013,-0.043,,,,
L. europaeus,1,-0.628,4.51,0.855,-0.493,,,,
L. europaeus,1,-0.669,0.911,1.272,-1.578,,,,
L. europaeus,1,-0.689,-0.386,-0.109,0.08,,,,
L. europaeus,1,-1.82,-0.494,0.184,0.441,,,,
L. europaeus,1,-0.316,-1.374,-0.689,-0.364,,,,
L. europaeus,1,-0.395,-1.008,0.108,-0.272,,,,
L. europaeus,1,-0.38,0.344,1.253,0.254,,,,
L. europaeus,1,-0.083,-0.597,-0.335,-0.043,,,,
L. europaeus,1,-0.422,-1.754,-0.994,-0.763,,,,
L. europaeus,1,-0.047,-1.345,-0.758,-0.426,,,,
L. europaeus,1,-2.26,-0.962,-0.148,0.105,,,,
L. europaeus,1,-1.856,-1.482,-0.058,-0.941,,,,
L. europaeus,1,-1.975,-0.196,0.321,0.278,,,,
L. europaeus,1,-1.858,-0.778,0.019,-0.276,,,,
L. europaeus,1,-2.101,-1.123,-0.313,-0.577,,,,
L. europaeus,1,-1.762,-1.785,-0.62,-1.297,,,,
L. europaeus,1,-1.949,-1.137,-0.606,-0.464,,,,
L. europaeus,1,-1.396,-0.533,0.244,-0.064,,,,
L. europaeus,1,-1.396,-0.533,0.244,-0.064,,,,
L. europaeus,1,-1.578,-0.442,-0.069,0.305,,,,
L. europaeus,1,-1.582,-0.417,-0.066,0.298,,,,
L. europaeus,1,-2.189,-1.398,-0.605,-0.355,,,,
L. europaeus,1,-1.971,-1.408,-0.664,-0.412,,,,
L. europaeus,1,-2.381,-1.674,-0.601,-0.25,,,,
L. europaeus,1,-2.101,-1.123,-0.313,-0.577,,,,
L. europaeus,1,-1.582,-0.417,-0.066,0.298,,,,
L. europaeus,1,-1.855,-0.711,-0.264,-0.084,,,,
L. europaeus,1,-1.856,-1.482,-0.058,-0.941,,,,
L. europaeus,1,-1.564,-1.117,-0.489,-0.062,,,,
L. europaeus,1,-1.702,-0.462,0,0.319,,,,
L. europaeus,1,-2.707,-0.621,0.315,0.691,,,,
L. europaeus,1,-2.349,-1.235,-0.432,-0.37,,,,
L. europaeus,1,-1.083,0.218,0.465,-0.152,,,,
L. europaeus,1,-0.684,-0.153,0.116,-0.056,,,,
L. europaeus,1,-1.584,-1.182,-0.443,0.011,,,,
L. europaeus,1,-1.102,-0.84,-0.501,-0.18,,,,
L. europaeus,1,-1.189,-0.826,-0.463,-0.151,,,,
L. europaeus,1,-1.11,-0.865,-0.512,-0.174,,,,
L. europaeus,1,-1.115,-0.825,-0.492,-0.182,,,,
L. europaeus,1,-1.326,-0.739,-0.17,0.369,,,,
L. europaeus,1,-0.89,-0.767,-0.194,0.106,,,,
L. europaeus,1,-1.125,-0.718,-0.453,-0.196,,,,
L. europaeus,1,-1.791,-1.081,-0.121,0.564,,,,
L. europaeus,1,-1.197,-1.292,-0.843,-0.562,,,,
L. europaeus,1,-1.089,-0.83,-0.502,-0.185,,,,
L. europaeus,1,-0.792,-1.088,-0.621,-0.216,,,,
L. europaeus,1,-0.817,-1.259,-0.203,-0.001,,,,
L. europaeus,1,-1.041,-0.804,-0.53,-0.193,,,,
L. europaeus,1,-0.605,-1.073,-0.253,-0.143,,,,
L. europaeus,1,-0.74,-1.044,-0.627,-0.237,,,,
L. europaeus,1,-0.611,-0.968,-0.717,-0.26,,,,
L. europaeus,1,-0.615,-0.915,-0.683,-0.276,,,,
L. europaeus,1,-0.766,-1.335,-0.99,-0.657,,,,
L. europaeus,1,-0.603,-0.95,-0.712,-0.264,,,,
L. europaeus,1,-0.847,-1.411,-0.903,-0.65,,,,
L. europaeus,1,-0.694,-1.008,-0.351,-0.554,,,,
L. europaeus,1,-0.781,-1.219,-0.92,-0.688,,,,
L. europaeus,1,-0.744,-0.995,-0.6,-0.249,,,,
L. europaeus,1,-0.731,-0.993,-0.622,-0.238,,,,
L. europaeus,1,-0.732,-0.98,-0.608,-0.246,,,,
L. europaeus,1,0.154,-0.447,1.218,0.553,,,,
L. europaeus,1,-0.183,-0.667,-0.896,-0.398,,,,
L. europaeus,1,-0.871,-1.109,-0.566,-0.194,,,,
L. europaeus,1,-1.015,-1.487,-0.841,-0.594,,,,
L. europaeus,1,-0.128,-0.816,0.757,-0.068,,,,
