(Sub-)species,Code,PC1,PC2,PC3,PC4,pca1.g1,pca2.g2,pca3.g2,pca4.g2
L.t. timidus,5,-0.109,3.034,-0.736,0.019,-0.466,-3.609,0.161,-0.594
L.t. timidus,5,1.012,0.653,1.559,0.127,-1.587,-1.228,-2.135,-0.702
L.t. timidus,5,-0.003,2.69,-1.102,0.194,-0.572,-3.265,0.526,-0.77
L.t. timidus,5,1.589,-0.082,2.349,1.508,-2.164,-0.493,-2.925,-2.084
L.t. timidus,5,0.43,2.267,-1.773,0.437,-1.005,-2.843,1.197,-1.012
L.t. timidus,5,0.43,2.267,-1.773,0.437,-1.005,-2.843,1.197,-1.012
L.t. timidus,5,1.505,-0.021,1.189,-1.285,-2.08,-0.554,-1.764,0.71
L.t. timidus,5,1.505,-0.021,1.189,-1.285,-2.08,-0.554,-1.764,0.71
L.t. timidus,5,1.353,0.613,0.903,0.931,-1.928,-1.188,-1.478,-1.506
L.t. timidus,5,-1.382,4.633,-0.992,-0.155,0.807,-5.208,0.416,-0.42
L.t. timidus,5,-1.382,4.633,-0.992,-0.155,0.807,-5.208,0.416,-0.42
L.t. timidus,5,-1.382,4.633,-0.992,-0.155,0.807,-5.208,0.416,-0.42
L.t. timidus,5,0.145,3.485,-1.439,-0.251,-0.72,-4.06,0.864,-0.324
L.t. timidus,5,1.573,0.54,0.322,1.738,-2.149,-1.115,-0.897,-2.313
L.t. timidus,5,0.19,2.52,-1.679,0.485,-0.766,-3.095,1.103,-1.06
L.t. timidus,5,0.538,-0.575,0.012,-0.322,-1.113,0,-0.587,-0.253
L.t. timidus,5,-0.09,2.196,-0.388,-0.793,-0.486,-2.771,-0.187,0.217
L.t. timidus,5,-0.752,2.151,0.118,-0.867,0.177,-2.726,-0.693,0.292
L.t. timidus,5,1.171,-0.198,0.452,-0.47,-1.747,-0.377,-1.027,-0.106
L.t. timidus,5,1.031,-0.34,0.442,-0.388,-1.606,-0.236,-1.017,-0.187
L.t. timidus,5,1.506,0.556,1.299,0.084,-2.081,-1.132,-1.874,-0.66
L.t. timidus,5,1.714,0.62,1.751,0.389,-2.289,-1.195,-2.326,-0.964
L.t. timidus,5,0.298,3.09,-1.225,0.201,-0.873,-3.665,0.65,-0.776
L.t. timidus,5,0.298,3.09,-1.225,0.201,-0.873,-3.665,0.65,-0.776
L.t. timidus,5,1.108,1.879,0.639,0.366,-1.683,-2.455,-1.214,-0.941
L.t. timidus,5,-0.263,2.312,0.912,-0.193,-0.312,-2.887,-1.487,-0.383
L.t. timidus,5,1.486,0.272,-0.705,2.389,-2.061,-0.847,0.13,-2.965
L.t. timidus,5,1.486,0.272,-0.705,2.389,-2.061,-0.847,0.13,-2.965
L.t. timidus,5,1.373,2.198,0.519,0.195,-1.949,-2.773,-1.094,-0.77
L.t. timidus,5,1.235,0.142,1.333,0.178,-1.81,-0.717,-1.908,-0.754
L.t. timidus,5,1.005,1.031,-0.418,-0.35,-1.58,-1.606,-0.157,-0.225
L.t. timidus,5,-1.108,2.76,-0.472,1.98,0.533,-3.335,-0.104,-2.556
L.t. timidus,5,-1.108,2.76,-0.472,1.98,0.533,-3.335,-0.104,-2.556
L.t. timidus,5,-1.108,2.76,-0.472,1.98,0.533,-3.335,-0.104,-2.556
L.t. timidus,5,-1.38,1.782,0.087,0.009,0.804,-2.357,-0.663,-0.585
L.t. timidus,5,-1.38,1.782,0.087,0.009,0.804,-2.357,-0.663,-0.585
L.t. timidus,5,0.515,3.836,-2.142,-0.683,-1.09,-4.411,1.567,0.108
L.t. timidus,5,1.546,0.913,0.588,-0.225,-2.121,-1.488,-1.163,-0.351
L.t. timidus,5,1.078,-0.359,-0.016,-0.153,-1.653,-0.216,-0.56,-0.422
L.t. timidus,5,0.564,4.207,-1.911,-1.975,-1.139,-4.782,1.336,1.4
L.t. timidus,5,1.378,-0.195,0.483,-0.37,-1.954,-0.38,-1.058,-0.205
L.t. timidus,5,-2.007,4.296,-0.746,0.55,1.432,-4.872,0.171,-1.126
L.t. timidus,5,1.578,-0.314,1.012,0.219,-2.153,-0.262,-1.588,-0.795
L.t. timidus,5,0.388,2.744,-1.223,0.082,-0.963,-3.319,0.648,-0.658
L.t. timidus,5,1.392,-0.118,0.885,0.187,-1.968,-0.457,-1.46,-0.763
L.t. timidus,5,1.087,-0.686,0.221,-0.714,-1.662,0.111,-0.796,0.139
L.t. timidus,5,1.087,-0.686,0.221,-0.714,-1.662,0.111,-0.796,0.139
L.t. timidus,5,1.087,-0.686,0.221,-0.714,-1.662,0.111,-0.796,0.139
L.t. timidus,5,0.641,3.153,-1.936,-0.705,-1.216,-3.729,1.361,0.129
L.t. timidus,5,1.988,0.253,1.957,0.779,-2.563,-0.829,-2.532,-1.355
L.t. timidus,5,1.471,0.331,1.337,0.087,-2.047,-0.906,-1.913,-0.663
L.t. timidus,5,1.299,-0.394,0.609,-0.223,-1.874,-0.181,-1.184,-0.353
L.t. timidus,5,1.433,1.788,-2.75,3.035,-2.008,-2.363,2.175,-3.61
L.t. timidus,5,1.433,1.788,-2.75,3.035,-2.008,-2.363,2.175,-3.61
L.t. timidus,5,1.868,-0.004,1.513,0.748,-2.443,-0.572,-2.089,-1.323
L.t. timidus,5,0.624,2.594,-2.291,1.203,-1.2,-3.169,1.715,-1.778
L.t. timidus,5,-0.446,2.479,0.229,-0.304,-0.129,-3.054,-0.805,-0.271
L.t. timidus,5,0.527,3.322,-1.371,-1.007,-1.102,-3.897,0.795,0.431
L.t. timidus,5,1.496,-0.352,-0.816,-0.331,-2.071,-0.224,0.241,-0.245
L.t. timidus,5,0.89,1.001,-0.352,-0.336,-1.465,-1.576,-0.224,-0.24
L.t. timidus,5,0.97,0.337,-1.301,0.114,-1.545,-0.912,0.726,-0.689
L.t. timidus,5,2.181,-0.347,1.18,0.608,-2.756,-0.228,-1.755,-1.183
L.t. timidus,5,1.931,0.345,-0.456,2.434,-2.506,-0.921,-0.12,-3.01
L.t. timidus,5,1.979,0.185,1.703,0.606,-2.554,-0.761,-2.278,-1.181
L.t. timidus,5,0.555,1.594,0.851,1.053,-1.13,-2.169,-1.426,-1.629
L.t. timidus,5,0.581,2.186,1.628,0.021,-1.156,-2.762,-2.203,-0.597
L.t. timidus,5,0.797,2.164,-0.383,-0.397,-1.372,-2.739,-0.193,-0.178
L.t. timidus,5,0.797,2.164,-0.383,-0.397,-1.372,-2.739,-0.193,-0.178
L.t. timidus,5,1.843,0.435,0.086,1.608,-2.418,-1.01,-0.661,-2.183
